,LONGUEUR MOYENNE,LONGUEUR MAX,LONGUEUR MIN,ECART TYPE,LONGUEUR MEDIANE,PREMIER QUARTILE,TROISIEME QUARTILE
AB,4.181818181818182,9,2,1.9802746282538148,4.181818181818182,3.0,5.0
CRE,4.966360856269113,59,1,3.710475535521711,4.966360856269113,3.0,6.0
DEST,4.3828125,16,1,2.5833635225890585,4.3828125,2.0,6.0
MAIN,4.905923344947735,18,1,3.1326425321989935,4.905923344947735,3.0,6.0
MODI,5.512977099236641,248,1,10.11911045894804,5.512977099236641,3.0,6.0
REP,5.44331641285956,22,1,3.2279057922182615,5.44331641285956,3.0,7.0
