,LONGUEUR MOYENNE,LONGUEUR MAX,LONGUEUR MIN,ECART TYPE,LONGUEUR MEDIANE,PREMIER QUARTILE,TROISIEME QUARTILE
POSITIVE,42.470886075949366,192,8,27.45944836077667,42.470886075949366,25.0,52.0
NEGATIVE,38.57372654155496,222,8,26.839869833038367,38.57372654155496,22.0,45.0
